DATE,PM2.5
20-11-2020,169
21-11-2020,219
22-11-2020,176
23-11-2020,187
24-11-2020,190
25-11-2020,185
26-11-2020,201
27-11-2020,166
28-11-2020,176
29-11-2020,198
30-11-2020,190
01-12-2020,235
02-12-2020,254
03-12-2020,256
04-12-2020,249
05-12-2020,231
06-12-2020,205
07-12-2020,199
08-12-2020,284
09-12-2020,286
10-12-2020,280
11-12-2020,239
12-12-2020,243
13-12-2020,240
14-12-2020,227
15-12-2020,203
16-12-2020,193
17-12-2020,220
18-12-2020,207
19-12-2020,206
20-12-2020,225
21-12-2020,288
22-12-2020,333
23-12-2020,275
24-12-2020,260
25-12-2020,253
26-12-2020,252
27-12-2020,245
28-12-2020,289
29-12-2020,332
30-12-2020,241
31-12-2020,216
01-01-2021,217
02-01-2021,263
03-01-2021,306
01-07-2020,40
02-07-2020,40
03-07-2020,28
04-07-2020,19
05-07-2020,21
06-07-2020,25
07-07-2020,44
08-07-2020,72
09-07-2020,56
10-07-2020,32
11-07-2020,50
12-07-2020,68
13-07-2020,79
14-07-2020,46
15-07-2020,23
16-07-2020,12
17-07-2020,13
18-07-2020,38
19-07-2020,41
20-07-2020,45
21-07-2020,59
22-07-2020,67
23-07-2020,44
24-07-2020,69
25-07-2020,48
26-07-2020,53
27-07-2020,94
28-07-2020,89
29-07-2020,41
30-07-2020,24
31-07-2020,28
01-08-2020,27
02-08-2020,56
03-08-2020,132
04-08-2020,82
05-08-2020,11
06-08-2020,32
07-08-2020,51
08-08-2020,56
09-08-2020,29
10-08-2020,18
11-08-2020,37
12-08-2020,42
13-08-2020,14
14-08-2020,13
15-08-2020,10
11-09-2020,17
12-09-2020,17
13-09-2020,14
14-09-2020,25
15-09-2020,28
16-09-2020,18
17-09-2020,38
18-09-2020,44
19-09-2020,74
20-09-2020,64
21-09-2020,15
22-09-2020,40
23-09-2020,25
24-09-2020,38
25-09-2020,54
26-09-2020,66
27-09-2020,87
28-09-2020,148
29-09-2020,64
30-09-2020,41
01-04-2020,140
02-04-2020,115
03-04-2020,128
04-04-2020,143
05-04-2020,136
06-04-2020,117
07-04-2020,125
08-04-2020,89
09-04-2020,78
10-04-2020,69
11-04-2020,78
12-04-2020,83
13-04-2020,92
14-04-2020,92
15-04-2020,92
16-04-2020,101
17-04-2020,76
18-04-2020,67
19-04-2020,57
20-04-2020,62
21-04-2020,57
22-04-2020,63
23-04-2020,56
24-04-2020,46
25-04-2020,56
26-04-2020,63
27-04-2020,37
28-04-2020,34
29-04-2020,70
30-04-2020,59
01-05-2020,43
02-05-2020,74
03-05-2020,76
04-05-2020,77
05-05-2020,64
06-05-2020,49
07-05-2020,60
08-05-2020,60
09-05-2020,70
10-05-2020,66
11-05-2020,69
12-05-2020,99
13-05-2020,71
14-05-2020,56
15-05-2020,44
16-05-2020,25
25-05-2020,55
26-05-2020,61
27-05-2020,51
28-05-2020,60
29-05-2020,61
30-05-2020,51
31-05-2020,52
01-06-2020,51
02-06-2020,51
03-06-2020,58
04-06-2020,57
05-06-2020,44
06-06-2020,67
07-06-2020,80
08-06-2020,84
09-06-2020,72
10-06-2020,46
11-06-2020,21
12-06-2020,28
13-06-2020,38
14-06-2020,38
15-06-2020,55
16-06-2020,41
17-06-2020,56
